ID,Name,Surgut.Khanty,Source,Example,Comment
UT001,Is there a distinct category of dual for verbal agreement with a dual subject?,1,Márta Csepregi (p.c. 2020),"UT001-1, UT001-2",
UT002,Is non-agreement in number between the nominal subject and verbal predicate possible?,1,Márta Csepregi (p.c. 2020),"UT002-1, UT002-2",
UT003,Can finite verbs agree in number with the nominal object?,1,Márta Csepregi (p.c. 2020),"UT003-1, UT003-2",Possible in the case of definite conjugation.
UT004,Can an adnominal property word agree with the noun in case?,0,Márta Csepregi (p.c. 2020),,
UT005,Are there cases that do not show agreement in terms of case?,0,Márta Csepregi (p.c. 2020),,
UT006,Can adpositions be used to mark core verbal arguments?,0,Márta Csepregi (p.c. 2020),,
UT007,Can adpositions be used to mark non-core/oblique verbal arguments?,1,Márta Csepregi (p.c. 2020),"UT007-1, UT007-2",
UT008,Can non-finite clauses entail a special way for a core argument (S/A) marking?,1,Márta Csepregi (p.c. 2020),UT008,"In the passive construction, an agent may be encoded with the locative case. However, not necessarily, cf. aťe-m wär-əm qåt (father-1SG make-PTCP.PST house) 'a house built by father’.
"
UT009,Can non-finite clauses entail a special way for a core argument (P) marking?,0,Márta Csepregi (p.c. 2020),,
UT010,"Do characteristics of object referent (topicality, animacy, definiteness) influence object marking?",0,Márta Csepregi (p.c. 2020),,
UT011,Does object marking correlate with aspectuality?,0,Márta Csepregi (p.c. 2020),,
UT012,Does the marking of the object depend on the verb conjugation form?,0,Márta Csepregi (p.c. 2020),,
UT013,Is there differential subject marking?,0,Márta Csepregi (p.c. 2020),,
UT014,"Can S and A be conflated morphologically across clause boundaries, i.e. act as syntactic pivot?",1,Márta Csepregi (p.c. 2020),UT014,
UT015,"Can S and P be conflated morphologically across clause boundaries, i.e. act as syntactic pivot?",0,Márta Csepregi (p.c. 2020),,
UT016,Is there a grammatical device for habituality?,1,Márta Csepregi (p.c. 2020),"UT016-1, UT016-2",PTCP.PRS + wär 'thing' + have
UT017,Is there a grammatical device for frequentative?,1,Márta Csepregi (p.c. 2020),"UT017-1, UT017-2, UT017-3",
UT018,Is there a grammatical device for progressivity?,0,Márta Csepregi (p.c. 2020),,
UT019,Is it common to use a verb in the present tense for future time reference?,1,Márta Csepregi (p.c. 2020),UT019,
UT020,Is there a grammatical device for immediate future?,0,Márta Csepregi (p.c. 2020),,
UT021,Is there a grammatical device for pluperfect?,0,Márta Csepregi (p.c. 2020),,
UT022,Can aspect be expressed overtly on the negative marker?,0,Márta Csepregi (p.c. 2020),,
UT023,Can tense be expressed overtly on the negative marker?,0,Márta Csepregi (p.c. 2020),,
UT024,Is there grammatical marking of mirativity?,0,Márta Csepregi (p.c. 2020),,
UT025,Is there morphological marking on the verb dedicated to the expression of desire or wish?,0,Márta Csepregi (p.c. 2020),,"There is a construction 'to have a desire', e.g. ma låpka-nam mən-tə kič-əm wăʌ-ʌ (I store-APPR go-PTCP.PRS desire-1SG have-PRS.3SG) ’I would like to go to the store.’ 
"
UT026,Is there morphological marking for irrealis (e.g. hypothetical state of affairs)?,0,Márta Csepregi (p.c. 2020),,"There is a modal word ŏʌəŋ, e.g. ma-mpə ŏʌəŋ mən-ʌ-əm… (I-PTCL PTCL go-PRS-1SG) 'I would go…', ma-mpə ŏʌəŋ mən-əm… (én-PTCL PTCL megy-PST.1SG) 'I would have gone …'.
"
UT027,Are verbs marked in a specific mood in counterfactual conditional clauses?,0,Márta Csepregi (p.c. 2020),,
UT028,Is there morphological marking on the verb dedicated to the expression of deontic necessity?,0,Márta Csepregi (p.c. 2020),,"Situational necessity is expressed by two auxiliaries (which have the same etymology) and the infinitive of the main verb. Objective necessity is denoted by mås-, while moral obligation is expressed by mustə-."
UT029,Is there morphological marking on the verb dedicated to the expression of epistemic possibility?,0,Márta Csepregi (p.c. 2020),,"Epistemic possibility is expressed by modal adverbs, for ex. əťə pə ’certainly’."
