"ID","Name","Lule.Saami","Source","Example","Comment"
"UT001","Is there a distinct category of dual for verbal agreement with a dual subject?",1,"Olle Kejonen","Måj låhkin;1DU.NOM read.DU.PRS;We read;",""
"UT002","Is non-agreement in number between the nominal subject and verbal predicate possible?",1,"Olle Kejonen","Bárne låhkåba;boy.NOM.PL read.3DU.PRS;The boys read;","Dual is not marked on nominals (other than personal pronouns, reflexive pronouns and reciprocal pronouns). Dual is however marked on verbs, meaning that a subject in the plural may combine with a predicate in the dual."
"UT003","Can finite verbs agree in number with the nominal object?",0,"Olle Kejonen","",""
"UT004","Can an adnominal property word agree with the noun in case?",0,"Olle Kejonen","",""
"UT005","Are there cases that do not show agreement in terms of case?",0,"Olle Kejonen","",""
"UT006","Can adpositions be used to mark core verbal arguments?",0,"Olle Kejonen","",""
"UT007","Can adpositions be used to mark non-core/oblique verbal arguments?",1,"Olle Kejonen","Mån manniv iedne lusi;1SG.NOM go.1SG.PST mother.GEN to;I went to my mother.'",""
"UT008","Can non-finite clauses entail a special way for a core argument (S/A) marking?",0,"Olle Kejonen","",""
"UT009","Can non-finite clauses entail a special way for a core argument (P) marking?",0,"Olle Kejonen","",""
"UT010","Do characteristics of object referent (topicality, animacy, definiteness) influence object marking?",0,"Olle Kejonen","",""
"UT011","Does object marking correlate with aspectuality? ",0,"Olle Kejonen","",""
"UT012","Does the marking of the object depend on the verb conjugation form? ",0,"Olle Kejonen","",""
"UT013","Is there differential subject marking?",0,"Olle Kejonen","",""
"UT014","Can S and A be conflated morphologically across clause boundaries, i.e. act as syntactic pivot?",1,"Olle Kejonen","Gå Herodes Jesusav vuojnij, de sälldát ávvusij;when Herod.NOM.SG Jesus.ACC.SG see.3SG.PST then greatly rejoice.3SG.PST;When Herodᵢ saw Jesus, heᵢ was greatly pleased;Åt, Luke 23:8",""
"UT015","Can S and P be conflated morphologically across clause boundaries, i.e. act as syntactic pivot?",0,"Olle Kejonen","",""
"UT016","Is there a grammatical device for habituality?",0,"Olle Kejonen","",""
"UT017","Is there a grammatical device for frequentative?",1,"Olle Kejonen","gähttjalit;;try;|gähttjal-addat;try-FRQ;try (repeatedly);","There are several derivational suffixes, e.g. -addat."
"UT018","Is there a grammatical device for progressivity?",1,"Olle Kejonen","Mån lav låhkåmin;1SG.NOM be.1SG.PRS read.PROG;I am reading;",""
"UT019","Is it common to use a verb in the present tense for future time reference? ",1,"Olle Kejonen","Mån boadáv idet;1SG.NOM come.1SG.PRS tomorrow;I come tomorrow;",""
"UT020","Is there a grammatical device for immediate future?",0,"Olle Kejonen","",""
"UT021","Is there a grammatical device for pluperfect?",1,"Olle Kejonen","Gå båhtiv, dat lij juo vuolggám;when come.1SG.PST DEM.NOM.SG be.3SG.PST already leave.PRF;When I came, s/he had already left;",""
"UT022","Can aspect be expressed overtly on the negative marker?",0,"Olle Kejonen","",""
"UT023","Can tense be expressed overtly on the negative marker?",1,"Olle Kejonen","Iv lågå;NEG.1SG.PRS read.CNG;I do not read;|Ittjiv lågå;NEG.1SG.PST read.CNG;I did not read;","However, that this does not apply to all dialects."
"UT024","Is there grammatical marking of mirativity?",0,"Olle Kejonen","",""
"UT025","Is there morphological marking on the verb dedicated to the expression of desire or wish?",0,"Olle Kejonen","",""
