ID,Primary_Text,IPA,Analyzed,Gloss,Translation,Example_Source
UT004,пичиезтэк пиетэк,pit͡ɕijeztek pijetek,pit͡ɕi-jez-tek	pi-je-tek,small-DEF-ABE	son-POSS.1SG-ABE,without my younger son,
UT005,вуж коркан,vuʒ korkɑn,vuʒ	korkɑ-n,old	house-INE,in an old house,
UT008,Фаина солэсь умме усемзэ öз ни шöды,Fɑinɑ soleɕ umme uɕemze ɘz ɲi ʃɘdɨ,Fɑinɑ	so-leɕ	umm-e	uɕ-em-ze	ɘ-z	ɲi	ʃɘdɨ,Faina	3SG-ABL	dream-INE	drop-PTCP-ACC.3SG	NEG.PST-3SG	already	feel.CNG.SG,Faina didn't feel any more that/how she [Tamara] fell asleep,
UT010-1,мон ӝук/ӝукез сии,mon d͡ʒuk/d͡ʒukez ɕii,mon	d͡ʒuk/d͡ʒuk-ez	ɕi-i,1SG	porridge[ACC]/porridge-ACC	eat-PST.1SG,I have eaten (the) porridge,Winkler 2001:20
UT010-2,мон пуныез/чебер корка адӟи,mon punɨjez/t͡ɕeber korkɑ ɑd͡d͡ʑi,mon	punɨ-jez/t͡ɕeber	korkɑ	ɑd͡d͡ʑ-i,1SG	dog-ACC/nice	house[ACC]	see-PST.1SG,I saw a dog/a nice house,Winkler 2001:21
UT014,Пи нылэз чупаз но бызьыса кошкиз,pi nɨlez t͡ɕupɑz no bɨʑɨsɑ koʃkiz,pi	nɨl-ez	t͡ɕup-ɑz	no	bɨʑɨ-sɑ	koʃk-iz,boy	girl-ACC	kiss-PST.3SG	and	run-CVB	go.away-PST.3SG,The boy kissed the girl and ran away,
UT016,"Гуртын улыкуз, атае нюлэскы ветлылоз вал",gurtɨn ulɨkuz ataje ɲuleskɨ vetlɨloz val,gurt-ɨn        ulɨ-ku-z        ataj-e        ɲulesk-ɨ        vetlɨ-l-o-z        val,country-INE	live-CVB-POSS.3SG	father-POSS.1SG	forest-ILL	go-FRQ-FUT-3SG	AUX,When my father lived in the country he used to go to the forest,
UT017,Юалля,juɑʎʎɑ,juɑ-ʎʎɑ-,ask-FRQ,to ask repeatedly,
UT018,Анае вуыку мон сиськисько вал,anaje vuɨku mon ɕiɕkiɕko val,anaj-e	vuɨ-ku	mon	ɕiɕk-iɕko	val,mother-POSS.1SG	come-CVB	1SG	eat-PRS.1SG	AUX,"When my mother came, I was eating",
UT019,Кошкисько мон,koʃkiɕko mon,koʃk-iɕko	mon,leave-PRS.1SG	1SG,I'm leaving,
UT021,Ми лыктыку со кошкемын ни вал,mi lɨktɨku so koʃkemɨn ɲi vɑl,mi	lɨktɨ-ku	so	koʃk-emɨn	ɲi	vɑl,1PL	come-CVB	3SG	leave-PASS	already	AUX,S/he had already left before we arrived,
UT023-1,Уг ужа,ug uʒɑ,u-g	uʒɑ,NEG.PRS-3SG	work.CNG.3SG,S/he does not work,
UT023-2,Öз ужа,ɘz uʒɑ,ɘ-z	uʒɑ,NEG.PST-3SG	work.CNG.SG,S/he didn't work,
UT023-3,Со ужам,so uʒam,so	uʒa-m,3SG work-PST2,"S/he worked, apparently",
UT023-4,Со ужамтэ,so uʒamte,so uʒa-m-te,3SG work-PST2-NEG,"S/he didn't work, apparently",
UT026,"Быгатысал ке, гуртын улысал","bɨgɑtɨsɑl ke, gurtɨn ulɨsɑl","bɨgɑtɨ-sɑl	ke,	gurt-ɨn	ulɨ-sɑl",can-COND	if	village-INE	live-COND,I would live in the countryside if I could,
UT027,"Бискыли пыжысал ке, сиысал сое","biskɨʎi pɨʒɨsɑl ke, ɕiɨsɑl soje","biskɨʎi	pɨʒɨ-sɑl	ke,	ɕiɨ-sɑl	so-je",cake[ACC]	bake-COND	if	eat-COND	it-ACC,"If I baked a cake, I would eat it",
UT028,Мыным гуртэ мыноно,mɨnɨm gurte mɨnono,mɨnɨm	gurt-e	mɨn-ono,1SG.DAT	house-ILL	go-PTCP,I must go home,
UT032,Со вераз мар мон каром,so veraz mar mon karom,so	vera-z	mar	mon	kar-om,3SG	say-PST.3SG	what	1SG	do-OPT.1SG,S/he told what I should do,
UT037-1,мынӥллям(ды),mɨniʎʎɑm(dɨ),mɨni-ʎʎɑ-m(-dɨ),go-FRQ-2PST(POSS.2PL),You (pl) went,
UT037-2,мынӥллям(зы),mɨniʎʎɑm(zɨ),mɨni-ʎʎɑ-m(-zɨ),go-FRQ-2PST(POSS.3PL),They went,
UT200,Шыдэз пуньыен сиё,ʃɨdez puɲɨjen ɕijo,ʃɨd-ez	puɲɨ-jen	ɕij-o,soup-ACC	spoon-INS	eat-PRS.3PL,Soup is eaten with a spoon,
UT040,"Маке кизид, сое ик аралод","mɑke kiʑid, soje ik ɑrɑlod","mɑke	kiʑ-i-d,	so-je	ik	ɑrɑ-lo-d",what sow-PST-2SG that-ACC PTCL reap-FUT-2SG,You reap what you sow,
UT043,Мон мынӥсько Венгрие мадьяр кылэз дышетыны,mon mɨniɕko vengrije mɑɟjɑr kɨlez dɨʃetɨnɨ,mon	mɨn-iɕko	vengri-je	mɑɟjɑr	kɨl-ez	dɨʃet-ɨnɨ,1SG go-PRS.1SG Hungary-ILL Hungarian language-ACC study-INF,I’m going to Hungary in order to study Hungarian,
UT044,зорэ,zore,zor-e,rain-PRS.3SG,It is raining,
UT202,Мон дышетӥсь вал,mon dɨʃetɨɕ vɑl,mon dɨʃet-ɨɕ vɑl,1SG teach-NMLZ be.PST,I was a teacher,
UT047,Мон гуртын,mon gurtɨn,mon	gurt-ɨn,1SG	home-INE,I am at home,
UT049,Ву öвöл,vu ɘvɘl,vu ɘvɘl,water NEG.EX,There is no water,Winkler 2011:141
UT050-1,мон ужасько,mon uʒɑɕko,mon uʒɑ-ɕko,1SG work-PRS.1SG,I work,
UT050-2,мон уг ужаськы,mon ug uʒɑɕkɨ,mon u-g uʒɑ-ɕk-ɨ,1SG NEG.PRS-1SG work-PRS-NEG.SG,I don’t work,
UT052-1,лыдӟымтэ книга,lɨd͡d͡ʑɨmte kɲigɑ,lɨd͡d͡ʑɨ-mte	kɲigɑ,read-PTCP.NEG	book,unread book,
UT052-2,дыртытэк лыдӟе,dɨrtɨtek lɨd͡d͡ʑe,dɨrtɨ-tek	lɨd͡d͡ʑ-e,hurry-CVB.NEG	read-PRS.3SG,S/he is reading without hurry,
UT053,дыртытэк лыдӟе,dɨrtɨtek lɨd͡d͡ʑe,dɨrtɨ-tek	lɨd͡d͡ʑ-e,hurry-CVB.NEG	read-PRS.3SG,S/he is reading without hurry,
UT055,гожъяськись пи,goʒjɑɕkɨɕ pi,goʒjɑɕk-ɨɕ	pi,write-PTCP	boy,writing boy,
UT057,,valez š’už’jan sǝ̑nanze Vaš’a ǝ̑stiz,val-ez	š’už’ja-n	sǝ̑na-n-z-e	Vaš’a	ǝ̑st-i-z,horse-ACC	clean-PTCP	comb-3-ACC	Vasya	lose-PST-3,Vasya lost the comb with which he used to clean the horse,
UT058,лыдӟымтэ книга,lɨd͡d͡ʑɨmte kɲigɑ,lɨd͡d͡ʑɨ-mte	kɲigɑ,read-PTCP.NEG	book,unread book,
UT059,лыдӟоно книга,lɨd͡d͡ʑono kɲigɑ,lɨd͡d͡ʑ-ono	kɲigɑ,read-PTCP	book,the book which must be read,
UT060,гуртэ мыноное,gurte mɨnonoe,gurt-e	mɨn-ono-e,home-ILL	go-PTCP-POSS.1SG,I must go home,
UT062,киземаз бусыын,kiʑemaz busɨɨn,kiʑ-em-az	busɨ-ɨn,sow-PTCP-DEF.INE	field-INE,in the sowed field,
UT063-1,кулэм вал,kulem vɑl,kul-em	vɑl,die-PTCP	horse,dead horse,
UT063-2,кулэм,kulem,kul-em,die-PTCP,death,
UT064-1,ужась адями,uʒɑɕ ɑɟɑmi,uʒɑ-ɕ	ɑɟɑmi,work-PTCP	person,working person,
UT064-2,ужась,uʒɑɕ,uʒɑ-ɕ,work-NMLZ,worker,
UT065-1,валамон уж,valamon už,vala-mon	už,understand-PTCP	work,comprehesible work,
UT065-2,валамон вераськиз,vɑlɑmon verɑɕkiz,vɑlɑ-mon	verɑ-ɕki-z,understand-GER	speak-PST-3SG,S/he spoke comprehensibly,
UT066,Чай ю!,t͡ɕɑj ju,t͡ɕɑj	ju,tea[ACC]	drink.IMP.2SG,Drink tea!,
UT072-1,нылпиосты дышетон,nɨlpiostɨ dɨʃeton,nɨlpi-os-tɨ	dɨʃet-on,child-PL-ACC	teach-NMLZ,teaching of children,
UT072-2,Мон нылпиосты дышетӥсько,mon nɨlpiostɨ dɨʃetiɕko,mon	nɨlpi-os-tɨ	dɨʃet-iɕko,1SG	child-PL-ACC	teach-PRS.1SG,I teach children,
UT073,Гуртъёс бадӟымесь,gurtjos bɑd͡d͡ʑɨmeɕ,gurt-jos	bɑd͡d͡ʑɨm-eɕ,village-PL	large-PL,The villages are large,
UT075,азяд,ɑʑɑd,ɑʑ-ɑd,front-POSS.2SG.INE/ILL,in front of you,
UT076-1,корка улэ,korkɑ ule,korkɑ	ul-e,house under_side-ILL,(to) under the house,
UT076-2,корка улын,korkɑ ulɨn,korkɑ	ul-ɨn,house under_side-INE,under the house,
