ID,Primary_Text,IPA,Analyzed,Gloss,Translation,Example_Source
UT002,Отирыс кöдзöны ни,ocirɨs kɘd͡ʑɘnɨ ɲi,ocir-ɨs kɘd͡ʑ-ɘnɨ ɲi,people-DEF sow-PRS.3PL already,People are already sowing,Karavaev et al. 1940:18
UT004,Вильö керку лэбтiс Петра,viʎɘ kerku lebtis petrɑ,viʎ-ɘ kerku lebt-is petrɑ,new-ACC house.ACC lift-PST.3SG Petra,Petra built a new house,Tsypanov 1999:84
UT005,гöрд карандашöн,gɘrd kɑrɑndɑʃɘn,gɘrd kɑrɑndɑʃ-ɘn,red pencil-INS,with a red pencil,Lytkin 1962:212
UT008,Миян вотöдз сiя мунöма ни вöлi,mijɑn votɘd͡ʑ sijɑ munɘmɑ ɲi vɘli,mijɑn vo-tɘd͡ʑ sijɑ mun-ɘmɑ ɲi vɘl-i,1PL.GEN arrive-CVB 3SG go-2PST.3SG already be-PST.3SG,S/he had already left before we arrived,Fedoseeva Elena (p.c. 2023)
UT010-1,Аддзылi ручöс,ɑd͡d͡ʑɨli rut͡ɕɘs,ɑd͡d͡ʑɨ-l-i rut͡ɕ-ɘs,see-MOM-PST.1SG fox-ACC,I saw a fox,Lytkin 1962:78
UT010-2,Кералöны вöр,kerɑlɘnɨ vɘr,kerɑl-ɘnɨ vɘr,chop.down-PRS.3PL forest[ACC],They are chopping down the forest,Lytkin 1962:78
UT013-1,Горалö вöр,gorɑlɘ vɘr,gorɑl-ɘ vɘr,rustle-PRS.3SG forest,A forest rustles,Gribanov 1940:74; Lytkin 1962:198
UT013-2,А вöрыс ыджыт да басöк,ɑ vɘrɨs ɨd͡ʒɨt dɑ bɑsɘk,ɑ vɘr-ɨs ɨd͡ʒɨt dɑ bɑsɘk,but forest-POSS.3SG big and beautiful,But the forest is big and beautiful,Gribanov 1940:74; Lytkin 1962:198
UT014,Зонкаыс окыштiс нывкасö и пышшис,zonkɑɨs okɨʃtis nɨvkɑsɘ i pɨʃʃis,zon-kɑ-ɨs okɨʃt-is nɨv-kɑ-sɘ i pɨʃʃ-is,boy-DEM-POSS.3SG kiss-PST.3SG girl-DEM-ACC.POSS.3SG and run-PST.3SG,The boy kissed the girl and ran away,Fedoseeva Elena (p.c. 2023)
UT016,керлывлыны,kerlɨvlɨnɨ,ker-lɨvlɨ-nɨ,do-FRQ-INF,used to do,Lytkin 1962:258
UT017,ветлывлыны,vetlɨvlɨnɨ,vetl-ɨvlɨ-nɨ,go.and.com.back-FRQ-INF,"to go and come back sometimes, usually",Lytkin 1962:258
UT018,велöтчикö сiя олiс городын.,velɘtt͡ɕikɘ sijɑ olis gorodɨn,velɘtt͡ɕ-ikɘ sijɑ ol-is gorod-ɨn,study-CVB 3SG live-PST.3SG city-INE,"While s/he was studying, he lived in the city.",Tsypanov 1999:75
UT019,Ме ашын муна театрö,me ɑʃɨn munɑ ceɑtrɘ,me ɑʃɨn mun-ɑ ceɑtr-ɘ,1SG tomorrow go-PRS.1SG theatre-ILL,I will go to the theatre tomorrow,Lytkin 1962:251
