ID,Language_ID,Primary_Text,Analyzed_Word,Gloss,Translated_Text,Meta_Language_ID,LGR_Conformance,Comment,Source,IPA
1,38,a vot t˙a͕ĺe joɯ̯rɛn˙ ɛĺ ĺa jīedi̮č,a	vot	t˙a͕ĺ-e	joɯ̯r-ɛn˙	ɛĺ	ĺa	jīedi̮č,and	PTCL	that-GEN.PL	lake-LOC.PL	NEG	be.3SG	charr.NOM.SG,There are no charr in those lakes over there,,,,kert_obrazcy_1988[37],
2,38,paлttaz koddi͔m puaʒ,paлttaz	kodd-i͔m	puaʒ,wolf.ACC/GEN.SG	kill-PTCP	reindeer.NOM.SG,the reindeer killed by a wolf,,,,zaikov_babinskij_1987[170],
3,38,pārni͔ čuɳkim stuoĺ,pārn-i͔	čuɳk-im	stuoĺ,child-ACC/GEN.PL	set.a.table-PTCP	table.NOM.SG,the table set by children,,,,zaikov_babinskij_1987[170],
4,38,ɵᵢnte > ɵntle,ɵᵢnte-	>	ɵnt-le-,give-	>	give-FRQ-,give > give often or several times,,,,genetz_kuollan_1891[5],
5,38,poᵢtte > potle,poᵢtte-	>	pot-le-,come-	>	come-FRQ-,come > come often or several times,,,,genetz_kuollan_1891[126],
6,38,ā͕h́ḱeĺsamлi̮š pui͔di͔ sužɛni͔ pūɯ̯ti͔,ā͕h́ḱeĺ-sam-лi̮š	pui͔d-i͔	sužɛni͔	pūɯ̯t-i͔,Akkala-Saami-SFX.NOM.SG	come-PST.3SG	soulmate.ACC/GEN.SG	bring-PST.3SG,The Akkala Saami came and brought (my) soulmate.,,,,kert_obrazcy_1988[69],
7,38,mia͕hcлa ĺei̭jiš kōn˙di͔ ši̮ĺĺimɛn˙,mia͕hc-лa	ĺei̭j-iš	kōn˙d-i͔	ši̮ĺĺi-mɛn˙,hunt-SFX.NOM.PL	be-PST.3PL	wild.reindeer-ACC/GEN.PL	catch-PROG,The hunters were hunting wild reindeer,,,,zaikov_babinskij_1987[167],
8,38,kaлsi̮š ĺai v́ār ḱehtmɛn˙,kaлs-i̮š	ĺai	v́ār	ḱeht-mɛn˙,old.man-DIM.NOM.SG	be.PST.3SG	soup.ACC/GEN.SG	cook-PROG,An old man was cooking soup,,,,zaikov_babinskij_1987[167],
9,38,a maɳɳa monn puadam tū garra,a	maɳɳa	monn	puad-am	tū	garra,and	then	1SG.NOM	come-PRS.1SG	2SG.ACC/GEN	to,And then I will come to you,,,,zaikov_babinskij_1987[147],
10,38,mij vŭɛ̆r̄́tɛp˙ tii̭ji rɛndi͔st,mij	vŭɛ̆r̄́t-ɛp˙	tii̭j-i	rɛnd-i͔st,1PL.NOM	wait-PRS.1PL	2PL-ACC/GEN	shore-LOC.SG,We will wait for you on the shore,,,,zaikov_babinskij_1987[147],
11,38,sonn ĺai jin pŭŏhtmi̮nč,sonn	ĺai	jin	pŭŏht-mi̮nč,3SG.NOM	be.PST.3SG	already	come-PST.PTCP,He had already come,,,,zaikov_babinskij_1987[150],
12,38,sij ĺei̭jiš puɛhttɛ vui̭ḱḱiś mii̭ji garra,sij	ĺei̭j-iš	puɛhtt-ɛ	vui̭ḱḱiś	mii̭j-i	garra,3PL.NOM	be-PST.3PL	come-INF	directly	1PL-ACC/GEN	to,They'd come straight to us,,,,zaikov_babinskij_1987[153],
13,38,monn ĺei̭jim va͕l̄́tɛ sust tɛ̄ɳgi,monn	ĺei̭j-im	va͕l̄́t-ɛ	sust	tɛ̄ɳg-i,1SG.NOM	be-PST.1SG	take-INF	3SG.LOC	money-ACC/GEN.PL,I'd take his money,,,,zaikov_babinskij_1987[153-154],
14,38,monn ŕaškлi͔č́im di͔ jim vŭăj̄mi̮š,monn	ŕaškл-i͔č́-im	di͔	jim	vŭăj̄-mi̮š,1SG.NOM	shoot-COND-1SG	and	NEG.1SG	can-PST.PTCP,"I would have shot, but I couldn't",,,,zaikov_babinskij_1987[153],
15,38,monn mɛ̄nč́im ḿahcca di͔ sɛ̄v́ki ɛĺ ĺa,monn	mɛ̄n-č́-im	ḿahcc-a	di͔	sɛ̄v́ki	ɛĺ	ĺa,1SG.NOM	go-COND-1SG	hunting-DAT.SG	and	ski.NOM.SG	NEG	be.3SG,"I would go hunting, but I don't have skis",,,,zaikov_babinskij_1987[153],
16,38,kārri ɛлл ṕē₍et,kārri	ɛлл	ṕē₍-et,wooden.plate.GEN.SG	on	put-PRS.3PL,[One] put[s] [a fish] on a wooden plate,,,,kert_obrazcy_1988[9],
17,38,kieŕsin˙ mieci͔śt˙ vuajak,kieŕs-in˙	miec-i͔śt˙	vuaj-ak,Saami.sledge-COM.SG	forest-LOC.SG	go-PRS.3SG,One rides the kerezha (Saami sledge) in the woods,,,,kert_obrazcy_1988[35],
18,38,vīrc kōn˙Da͕t˙ štobi̮ ɛto rōvvi͔ kŭŏrri͔,vīrc	kōn˙D-a͕t˙	štobi̮	ɛto	rōvvi͔	kŭŏrr-i͔,ram.ACC/GEN.SG	kill-PRS.3PL	for	that	sleeping.bag.NOM.PL	sew-INF,Ram is slaughtered to make sleeping bags.,,,,kert_obrazcy_1988[12],
19,38,a ti̮t ĺāi oćāna,a	ti̮t	ĺāi	oćāna,and	that.NOM.SG	be.PST.3SG	Oksana.NOM.SG,And that was Oksana,,,,zaikov_babinskij_1987[31],
20,38,jōɯ̯ŕ rɛddi͔st kŭăht,jōɯ̯ŕ	rɛdd-i͔st	kŭăht,lake.ACC/GEN.SG	shore-LOC.SG	Saami.house.NOM.SG,There is a Saami house on the lake shore,,,,zaikov_babinskij_1987[183],
21,38,hiśśi i vŭăm̄́ṕ,hiśśi	i	vŭăm̄́ṕ,robber.NOM.PL	and	sister.NOM.SG,robbers and sister,,,,zaikov_babinskij_1987[176],
22,38,čūṕat˙ potońšɛ kuśki i ōu̯Gas koʒti͔,čūṕ-at˙	potońšɛ	kuśki	i	…	ōu̯Gas	koʒt-i͔,cut-PRS.3PL	thinner	pieces	and	(he_or_she)	outside	hang-PST.3SG,They cut the pieces thinner and he (or she) hung them out on the street,,,,kert_obrazcy_1988[10],
23,38,vizzam :jim vizz,vizz-am	:jim	vizz,get.tired-PRS.1SG	:NEG.1SG	get.tired.CNG,I am getting tired :I am not getting tired,,,,"zaikov_babinskij_1987[52, 157]",
24,38,pŭŏht :ij pua(d˙),pŭŏht	:ij	pua(d˙),come.PRS.3SG	:NEG.3SG	come.CNG,he is coming :he is not coming,,,,"zaikov_babinskij_1987[115, 157]",
25,38,ij vua jeĺĺe jugt́anna,ij	vua	jeĺĺ-e	jug-t́anna,NEG.3SG	can.CNG	live-INF	drink-NEG.PTCP,One cannot live without drinking,,,,zaikov_babinskij_1987[168],
26,38,sonn mɛ̄ni͔ suaɳɳje šou̯šat́anna nied˙,sonn	mɛ̄ni͔	suaɳɳj-e	šou̯ša-t́anna	nied˙,3SG.NOM	go-PST.3SG	propose-INF	love-NEG.PTCP	girl.ACC.SG,He went to propose to the girl without loving her,,,,zaikov_babinskij_1987[168],
27,38,tiD poadiškŭŏDt ti̮n āлdi͔ tɛĺĺ jɛ t́āssĭ͔,tiD	poad-iškŭŏDt	ti̮n	āлd-i͔	tɛĺĺ	jɛ	t́āssĭ͔,spring.NOM.SG	come-INCH.PRS.3SG	PTCL	female.reindeer-ACC/GEN.PL	PTCL	NEG.3PL	harness.CNG,"When spring comes, the female reindeer are no longer harnessed",,,,kert_obrazcy_1988[18],
28,38,ka͕mmi kuarri͔ nɛzzan,ka͕mmi	kuarr-i͔	nɛzzan,boot.ACC/GEN.PL	sew-ACT.PTCP	woman.NOM.SG,woman sewing boots,,,,zaikov_babinskij_1987[164],
29,38,kuadi͔st vuaddi͔ kaлsi̮š,kuad-i͔st	vuadd-i͔	kaлs-i̮š,Saami.house-LOC.SG	sleep-ACT.PTCP	old.man-DIM.NOM.SG,old man sleeping in a Saami house,,,,zaikov_babinskij_1987[164],
30,38,ossje puk ḿahkkiš ci̮hci͔m ǵomna,ossje	puk	ḿahkk-iš	ci̮hc-i͔m	ǵomn-a,clothes.ACC/GEN	all	stuff-PST.3PL	colour-PTCP	pot-DAT.SG,They stuffed all the clothes into a pot for colouring nets.,,,,zaikov_babinskij_1987[168],
31,38,sij jiĺĺiš kaĺĺeś puɛhti͔m raii̯ja,sij	jiĺĺ-iš	kaĺĺeś	puɛht-i͔m	raii̯ja,3PL.NOM	live-PST.3PL	old.man.ACC/GEN.PL	come-PTCP	until,They lived until (their) husbands came,,,,zaikov_babinskij_1987[169],
32,38,miśt˙ ĺai ńucki͔m borrum kŭɛ̆ĺĺ,miśt˙	ĺai	ńucki͔m	borr-um	kŭɛ̆ĺĺ,1PL.LOC	be.PST.3SG	raw	eat-PTCP	fish.NOM.SG,We had salted (lit. raw eaten) fish,,,,zaikov_babinskij_1987[169],
33,38,sonn vuɛĺji māṷs kɛǯ́iḱanna,sonn	vuɛĺj-i	māṷs	kɛǯ́i-ḱanna,3SG.NOM	go.away-PST.3SG	salary.ACC/GEN.SG	ask-NEG.CVB,He left without asking for a salary.,,,,zaikov_babinskij_1987[168],
34,38,jannam ɛhčam pŭĭ͔ttiš nŭŏhtmist,jann-am	ɛhč-am	pŭĭ͔tt-iš	nŭŏht-m-ist,mother.NOM.SG-POSS.1	father.NOM.SG-POSS.1	come-PST.3PL	fish.with.seine-PTCP-LOC.SG,My mum and dad came from fishing with a seine,,,,zaikov_babinskij_1987[170],
35,38,jammij,jamm-ij,die-ACT.PTCP,dead man,,,,zaikov_babinskij_1987[165],
36,38,jukki,jukk-i,drink-ACT.PTCP,drunkard,,,,zaikov_babinskij_1987[165],
37,38,paлttaz koddi͔m,paлttaz	kodd-i͔m,wolf.ACC/GEN.SG	kill-PTCP,killing by wolf,,,,zaikov_babinskij_1987[169-170],
38,38,suɛjn kossi͔m,suɛjn	koss-i͔m,hay.ACC/GEN.SG	mow-PTCP,hay mowing,,,,zaikov_babinskij_1987[169-170],
